Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
10-09-2020 16:18:49;75351500;Kauf;FCAU;FIAT CHRYSLER AUTOMOBILES ORD;NL0010877643;100.0;11.885;27.63;0.00;-1'216.13;USD;-1'216.13;-2'813.75;USD
10-09-2020 16:16:47;75351426;Verkauf;XDJP;X NIKKEI 225 ETF;LU0839027447;547.0;18.98;72.02;0.00;10'310.04;EUR;10'310.04;10'310.04;EUR
10-09-2020 16:07:52;75350919;Kauf;BLV;VANGUARD LONG TERM BOND ETF;US9219377937;16.0;111.99;28.54;0.00;-1'820.38;USD;-1'820.38;-1'597.62;USD
10-09-2020 12:05:52;00000000;Dividende;MSFT;MICROSOFT ORD;US5949181045;1.0;30.09;9.03;0.00;21.06;USD;21.06;222.76;USD
10-09-2020 01:15:31;00000000;Vergütung;;;;1.0;1'500.00;0.00;0.00;1'500.00;CHF;1'500.00;1'723.69;CHF
09-09-2020 19:27:12;75325678;Kauf;VTI;VANGUARD TOTAL STOCK MARKET ET;US9229087690;54.0;172.80;44.85;0.00;-9'376.05;USD;-9'376.05;201.70;USD
09-09-2020 19:25:54;75325895;Verkauf;AXP;AMERICAN EXPRESS ORD;US0258161092;91.0;104.39;20.94;0.00;9'478.55;USD;9'478.55;9'577.75;USD
09-09-2020 19:24:16;75325646;Kauf;BLV;VANGUARD LONG TERM BOND ETF;US9219377937;44.0;112.27;8.26;0.00;-4'948.14;USD;-4'948.14;99.20;USD
09-09-2020 19:23:04;75325628;Verkauf;WM;WASTE MANAGEMENT ORD;US94106L1098;44.0;112.33;8.37;0.00;4'934.15;USD;4'934.15;5'047.34;USD
08-09-2020 16:51:12;00000000;Forex-Gutschrift;;;;1.0;1'662.19;0.00;0.00;1'662.19;USD;1'662.19;113.19;USD
08-09-2020 16:51:12;00000000;Forex-Belastung;;;;1.0;1'540.00;0.00;0.00;-1'540.00;CHF;-1'540.00;223.69;CHF
08-09-2020 15:30:01;75179524;Kauf;BLV;VANGUARD LONG TERM BOND ETF;US9219377937;14.0;112.37;3.21;0.00;-1'576.39;USD;-1'576.39;-1'549.00;USD
07-09-2020 07:55:39;00000000;Vergütung;;;;1.0;1'500.00;0.00;0.00;1'500.00;CHF;1'500.00;1'763.69;CHF
10-08-2020 12:14:23;00000000;Dividende;AXP;AMERICAN EXPRESS ORD;US0258161092;1.0;39.13;11.74;0.00;27.39;USD;27.39;27.39;USD
07-08-2020 22:17:46;00000000;Fx-Gutschrift Comp.;;;;1.0;3'824.73;0.00;0.00;3'824.73;USD;3'824.73;0.00;USD
07-08-2020 22:17:46;00000000;Fx-Belastung Comp.;;;;1.0;3'525.33;0.00;0.00;-3'525.33;CHF;-3'525.33;263.69;CHF
07-08-2020 15:48:44;74208215;Kauf;TSM;TAIWAN SEMICONDUCTOR MNFTG ADR;US8740391003;47.0;80.60;36.53;0.00;-3'824.73;USD;-3'824.73;-3'824.73;USD
07-08-2020 01:25:30;00000000;Vergütung;;;;1.0;3'500.00;0.00;0.00;3'500.00;CHF;3'500.00;3'789.02;CHF
23-07-2020 22:16:59;00000000;Fx-Gutschrift Comp.;;;;1.0;1'541.32;0.00;0.00;1'541.32;USD;1'541.32;0.00;USD
23-07-2020 22:16:59;00000000;Fx-Belastung Comp.;;;;1.0;1'440.97;0.00;0.00;-1'440.97;CHF;-1'440.97;289.02;CHF
23-07-2020 22:16:59;00000000;Fx-Gutschrift Comp.;;;;1.0;5'131.09;0.00;0.00;5'131.09;EUR;5'131.09;0.00;EUR
23-07-2020 22:16:59;00000000;Fx-Belastung Comp.;;;;1.0;5'560.69;0.00;0.00;-5'560.69;CHF;-5'560.69;1'729.99;CHF
23-07-2020 16:05:24;73760786;Kauf;WM;WASTE MANAGEMENT ORD;US94106L1098;15.0;108.39;28.29;0.00;-1'654.14;USD;-1'654.14;-1'541.32;USD
23-07-2020 16:03:05;73760656;Kauf;ASML;ASML HOLDING ORD;NL0010273215;12.0;339.80;11.12;0.00;-4'088.72;EUR;-4'088.72;-5'131.09;EUR
23-07-2020 16:03:05;73760656;Kauf;ASML;ASML HOLDING ORD;NL0010273215;3.0;339.80;27.38;0.00;-1'046.78;EUR;-1'046.78;-1'042.37;EUR
23-07-2020 16:00:59;73760478;Verkauf;SREN;SWISS RE N;CH0126881561;89.0;74.08;14.95;0.00;6'578.20;CHF;6'578.20;7'290.68;CHF
23-07-2020 16:00:59;73760478;Verkauf;SREN;SWISS RE N;CH0126881561;7.0;74.08;22.75;0.00;495.80;CHF;495.80;712.48;CHF
07-07-2020 09:47:20;73210774;Kauf;SREN;SWISS RE N;CH0126881561;47.0;75.12;35.00;0.00;-3'565.65;CHF;-3'565.65;216.68;CHF
07-07-2020 01:25:31;00000000;Vergütung;;;;1.0;3'500.00;0.00;0.00;3'500.00;CHF;3'500.00;3'782.33;CHF
30-06-2020 16:25:56;00000000;Dividende;VTI;VANGUARD TOTAL STOCK MARKET ET;US9229087690;1.0;47.59;14.28;0.00;33.31;USD;33.31;112.82;USD
30-06-2020 16:16:52;00000000;Forex-Gutschrift;;;;1.0;188.01;0.00;0.00;188.01;CHF;188.01;282.33;CHF
30-06-2020 16:16:52;00000000;Forex-Belastung;;;;1.0;200.00;0.00;0.00;-200.00;USD;-200.00;79.51;USD
30-06-2020 16:16:30;73045121;Kauf;SREN;SWISS RE N;CH0126881561;49.0;72.66;35.00;0.00;-3'595.35;CHF;-3'595.35;94.32;CHF
30-06-2020 11:37:13;00000000;Depotgebühren;;;;1.0;26.12;2.01;0.00;-28.13;CHF;-28.13;3'689.67;CHF
30-06-2020 08:50:35;00000000;Vergütung;;;;1.0;3'500.00;0.00;0.00;3'500.00;CHF;3'500.00;3'717.80;CHF
26-06-2020 06:14:55;00000000;Dividende;VWRL;Vanguard All World ETF Dist;IE00B3RBWM25;1.0;36.98;0.00;0.00;36.98;USD;36.98;279.51;USD
25-06-2020 07:40:20;00000000;Dividende;VFEM;Vanguard EM ETF Dist;IE00B3VVMM84;1.0;49.04;0.00;0.00;49.04;USD;49.04;242.53;USD
19-06-2020 14:02:50;00000000;Dividende;WM;WASTE MANAGEMENT ORD;US94106L1098;1.0;15.81;4.74;0.00;11.07;USD;11.07;193.49;USD
11-06-2020 17:19:52;00000000;Dividende;MSFT;MICROSOFT ORD;US5949181045;1.0;30.09;9.03;0.00;21.06;USD;21.06;182.42;USD
05-06-2020 14:48:26;00000000;Dividende;TLT;ISHARES 20 PLS YEAR TREASURY B;US4642874329;1.0;3.57;1.07;0.00;2.50;USD;2.50;161.36;USD
03-06-2020 16:13:29;72061189;Kauf;FCAU;FIAT CHRYSLER AUTOMOBILES ORD;NL0010877643;60.0;9.78;5.88;0.00;-592.68;USD;-592.68;158.86;USD
03-06-2020 16:13:29;72061189;Kauf;FCAU;FIAT CHRYSLER AUTOMOBILES ORD;NL0010877643;100.0;9.775;1.46;0.00;-978.96;USD;-978.96;751.54;USD
03-06-2020 16:13:29;72061189;Kauf;FCAU;FIAT CHRYSLER AUTOMOBILES ORD;NL0010877643;100.0;9.775;27.32;0.00;-1'004.82;USD;-1'004.82;1'730.50;USD
03-06-2020 16:11:47;72061028;Verkauf;TLT;ISHARES 20 PLS YEAR TREASURY B;US4642874329;17.0;159.56;34.98;0.00;2'677.54;USD;2'677.54;2'735.32;USD
28-05-2020 16:02:54;00000000;Forex-Gutschrift;;;;1.0;3'580.65;0.00;0.00;3'580.65;USD;3'580.65;57.78;USD
28-05-2020 16:02:53;00000000;Forex-Belastung;;;;1.0;3'500.00;0.00;0.00;-3'500.00;CHF;-3'500.00;217.80;CHF
28-05-2020 15:39:15;71792942;Kauf;FCAU;FIAT CHRYSLER AUTOMOBILES ORD;NL0010877643;388.0;9.00;36.09;0.00;-3'528.09;USD;-3'528.09;-3'522.87;USD
28-05-2020 03:20:36;00000000;Vergütung;;;;1.0;3'500.00;0.00;0.00;3'500.00;CHF;3'500.00;3'717.80;CHF
20-05-2020 22:07:54;00000000;Forex-Gutschrift;;;;1.0;293.52;0.00;0.00;293.52;USD;293.52;5.22;USD
20-05-2020 22:07:54;00000000;Forex-Belastung;;;;1.0;270.00;0.00;0.00;-270.00;EUR;-270.00;4.41;EUR
20-05-2020 21:52:13;71595024;Kauf;AXP;AMERICAN EXPRESS ORD;US0258161092;3.0;90.68;16.26;0.00;-288.30;USD;-288.30;-288.30;USD
13-05-2020 22:16:37;00000000;Fx-Gutschrift Comp.;;;;1.0;2'007.79;0.00;0.00;2'007.79;USD;2'007.79;0.00;USD
13-05-2020 22:16:37;00000000;Fx-Belastung Comp.;;;;1.0;1'874.01;0.00;0.00;-1'874.01;EUR;-1'874.01;274.41;EUR
13-05-2020 15:30:37;71351239;Kauf;TLT;ISHARES 20 PLS YEAR TREASURY B;US4642874329;12.0;165.09;28.82;0.00;-2'009.90;USD;-2'009.90;-2'007.79;USD
13-05-2020 12:03:28;71345895;Verkauf;GUI;DIAGEO ORD;GB0002374006;68.0;32.10;34.72;0.00;2'148.08;EUR;2'148.08;2'148.42;EUR
12-05-2020 16:04:57;00000000;Forex-Gutschrift;;;;1.0;8.20;0.00;0.00;8.20;USD;8.20;2.11;USD
12-05-2020 16:04:57;00000000;Forex-Belastung;;;;1.0;8.00;0.00;0.00;-8.00;CHF;-8.00;217.80;CHF
12-05-2020 16:04:46;00000000;Forex-Gutschrift;;;;1.0;16.16;0.00;0.00;16.16;USD;16.16;-6.09;USD
12-05-2020 16:04:46;00000000;Forex-Belastung;;;;1.0;15.00;0.00;0.00;-15.00;EUR;-15.00;0.34;EUR
12-05-2020 16:04:32;00000000;Forex-Gutschrift;;;;1.0;75.40;0.00;0.00;75.40;USD;75.40;-22.25;USD
12-05-2020 16:04:32;00000000;Forex-Belastung;;;;1.0;70.00;0.00;0.00;-70.00;EUR;-70.00;15.34;EUR
12-05-2020 16:04:19;00000000;Forex-Gutschrift;;;;1.0;747.63;0.00;0.00;747.63;USD;747.63;-97.65;USD
12-05-2020 16:04:19;00000000;Forex-Belastung;;;;1.0;730.00;0.00;0.00;-730.00;CHF;-730.00;225.80;CHF
12-05-2020 16:03:41;71317802;Kauf;TLT;ISHARES 20 PLS YEAR TREASURY B;US4642874329;5.0;163.64;27.08;0.00;-845.28;USD;-845.28;-845.28;USD
12-05-2020 16:02:54;71317771;Verkauf;BB;BLACKBERRY ORD;CA09228F1036;73.0;6.36;0.70;0.00;463.54;CAD;317.00;955.80;CHF
12-05-2020 16:02:53;71317771;Verkauf;BB;BLACKBERRY ORD;CA09228F1036;100.0;6.36;25.95;0.00;610.07;CAD;417.20;638.80;CHF
12-05-2020 13:14:38;71310350;Kauf;GUI;DIAGEO ORD;GB0002374006;68.0;33.04;34.82;0.00;-2'281.54;EUR;-2'281.54;85.34;EUR
12-05-2020 11:31:08;00000000;Forex-Gutschrift;;;;1.0;2'364.62;0.00;0.00;2'364.62;EUR;2'364.62;2'366.88;EUR
12-05-2020 11:31:08;00000000;Forex-Belastung;;;;1.0;2'510.00;0.00;0.00;-2'510.00;CHF;-2'510.00;221.60;CHF
11-05-2020 08:56:01;00000000;Vergütung;;;;1.0;2'500.00;0.00;0.00;2'500.00;CHF;2'500.00;2'731.60;CHF
07-05-2020 16:19:45;00000000;Forex-Gutschrift;;;;1.0;18.81;0.00;0.00;18.81;EUR;18.81;2.26;EUR
07-05-2020 16:19:45;00000000;Forex-Belastung;;;;1.0;20.00;0.00;0.00;-20.00;CHF;-20.00;231.60;CHF
07-05-2020 16:19:26;71170178;Verkauf;VFEM;Vanguard EM ETF Dist;IE00B3VVMM84;1.0;47.475;11.90;0.00;35.60;CHF;35.60;251.60;CHF
30-04-2020 22:16:47;00000000;Fx-Gutschrift Comp.;;;;1.0;20.26;0.00;0.00;20.26;CHF;20.26;216.00;CHF
30-04-2020 22:16:47;00000000;Fx-Belastung Comp.;;;;1.0;19.34;0.00;0.00;-19.34;EUR;-19.34;-16.55;EUR
29-04-2020 22:17:03;00000000;Fx-Gutschrift Comp.;;;;1.0;8'136.45;0.00;0.00;8'136.45;USD;8'136.45;0.00;USD
29-04-2020 22:17:03;00000000;Fx-Belastung Comp.;;;;1.0;8'010.06;0.00;0.00;-8'010.06;CHF;-8'010.06;195.74;CHF
29-04-2020 16:43:59;70903906;Kauf;BB;BLACKBERRY ORD;CA09228F1036;73.0;6.12;0.67;0.00;-447.39;CAD;-315.75;8'205.80;CHF
29-04-2020 16:43:58;70903906;Kauf;BB;BLACKBERRY ORD;CA09228F1036;100.0;6.12;25.92;0.00;-637.90;CAD;-450.20;8'521.55;CHF
29-04-2020 16:39:11;70903459;Kauf;AXP;AMERICAN EXPRESS ORD;US0258161092;88.0;92.09;43.01;0.00;-8'146.93;USD;-8'146.93;-8'136.45;USD
29-04-2020 16:38:03;70903390;Verkauf;XMCH;X MSCI CHINA;LU0514695690;500.0;17.584;46.85;0.00;8'745.15;CHF;8'745.15;8'971.75;CHF
28-04-2020 12:41:46;00000000;Forex-Gutschrift;;;;1.0;155.20;0.00;0.00;155.20;CHF;155.20;226.60;CHF
28-04-2020 12:41:46;00000000;Forex-Belastung;;;;1.0;148.00;0.00;0.00;-148.00;EUR;-148.00;2.79;EUR
28-04-2020 12:40:23;70823841;Kauf;VFEM;Vanguard EM ETF Dist;IE00B3VVMM84;3.0;48.27;12.05;0.00;-156.85;CHF;-156.85;71.40;CHF
28-04-2020 07:46:54;00000000;Dividende;XDJP;X NIKKEI 225 ETF;LU0839027447;1.0;140.08;0.00;0.00;140.08;EUR;140.08;150.79;EUR
27-04-2020 18:20:39;00000000;Forex-Gutschrift;;;;1.0;35.51;0.00;0.00;35.51;USD;35.51;10.48;USD
27-04-2020 18:20:39;00000000;Forex-Belastung;;;;1.0;35.00;0.00;0.00;-35.00;CHF;-35.00;228.25;CHF
27-04-2020 18:20:20;70794013;Kauf;WM;WASTE MANAGEMENT ORD;US94106L1098;1.0;101.19;16.00;0.00;-117.19;USD;-117.19;-25.03;USD
24-04-2020 13:12:07;70723730;Kauf;VFEM;Vanguard EM ETF Dist;IE00B3VVMM84;31.0;47.265;14.05;0.00;-1'479.25;CHF;-1'479.25;263.25;CHF
24-04-2020 01:25:39;00000000;Vergütung;;;;1.0;1'500.00;0.00;0.00;1'500.00;CHF;1'500.00;1'742.50;CHF
23-04-2020 16:59:40;00000000;Forex-Gutschrift;;;;1.0;9'700.45;0.00;0.00;9'700.45;USD;9'700.45;92.16;USD
23-04-2020 16:59:40;00000000;Forex-Belastung;;;;1.0;9'520.00;0.00;0.00;-9'520.00;CHF;-9'520.00;242.50;CHF
23-04-2020 15:44:08;70681657;Kauf;VTI;VANGUARD TOTAL STOCK MARKET ET;US9229087690;6.0;140.89;26.27;0.00;-871.61;USD;-871.61;-9'608.29;USD
23-04-2020 15:30:09;70671439;Kauf;VTI;VANGUARD TOTAL STOCK MARKET ET;US9229087690;62.0;140.22;43.04;0.00;-8'736.68;USD;-8'736.68;-8'736.68;USD
23-04-2020 11:21:48;70671765;Verkauf;SPY5;SPDR S&P 500 UCITS ETF Dist;IE00B6YX5C33;35.0;272.65;48.10;0.00;9'494.65;CHF;9'494.65;9'762.50;CHF
20-04-2020 22:16:45;00000000;Fx-Gutschrift Comp.;;;;1.0;2'773.04;0.00;0.00;2'773.04;USD;2'773.04;0.00;USD
20-04-2020 22:16:45;00000000;Fx-Belastung Comp.;;;;1.0;2'710.34;0.00;0.00;-2'710.34;CHF;-2'710.34;267.85;CHF
20-04-2020 16:36:56;70551713;Kauf;VWRL;Vanguard All World ETF Dist;IE00B3RBWM25;3.0;75.91;12.20;0.00;-239.95;CHF;-239.95;2'978.19;CHF
20-04-2020 15:30:17;70528922;Kauf;WM;WASTE MANAGEMENT ORD;US94106L1098;28.0;98.87;35.00;0.00;-2'803.36;USD;-2'803.36;-2'773.04;USD
20-04-2020 07:56:30;00000000;Vergütung;;;;1.0;3'000.00;0.00;0.00;3'000.00;CHF;3'000.00;3'218.14;CHF
09-04-2020 16:56:27;00000000;Forex-Gutschrift;;;;1.0;90.58;0.00;0.00;90.58;EUR;90.58;10.71;EUR
09-04-2020 16:56:27;00000000;Forex-Belastung;;;;1.0;100.00;0.00;0.00;-100.00;USD;-100.00;30.32;USD
09-04-2020 16:56:06;00000000;Forex-Gutschrift;;;;1.0;3'562.66;0.00;0.00;3'562.66;EUR;3'562.66;-79.87;EUR
09-04-2020 16:56:06;00000000;Forex-Belastung;;;;1.0;3'800.00;0.00;0.00;-3'800.00;CHF;-3'800.00;218.14;CHF
09-04-2020 16:50:47;70256887;Kauf;VWRL;Vanguard All World ETF Dist;IE00B3RBWM25;4.0;75.23;12.30;0.00;-313.20;CHF;-313.20;4'018.14;CHF
09-04-2020 16:11:50;70252178;Kauf;XDJP;X NIKKEI 225 ETF;LU0839027447;210.0;17.206;36.87;0.00;-3'650.13;EUR;-3'650.13;-3'642.53;EUR
09-04-2020 15:44:26;70247689;Kauf;SPY5;SPDR S&P 500 UCITS ETF Dist;IE00B6YX5C33;15.0;271.65;39.05;0.00;-4'113.80;CHF;-4'113.80;4'331.34;CHF
08-04-2020 15:58:38;00000000;Dividende;VWRL;Vanguard All World ETF Dist;IE00B3RBWM25;1.0;22.46;0.00;0.00;22.46;USD;22.46;130.32;USD
08-04-2020 15:37:51;00000000;Dividende;VFEM;Vanguard EM ETF Dist;IE00B3VVMM84;1.0;15.12;0.00;0.00;15.12;USD;15.12;107.86;USD
08-04-2020 01:00:42;00000000;Vergütung;;;;1.0;4'000.00;0.00;0.00;4'000.00;CHF;4'000.00;8'445.14;CHF
07-04-2020 01:05:37;00000000;Vergütung;;;;1.0;3'500.00;0.00;0.00;3'500.00;CHF;3'500.00;4'445.14;CHF
06-04-2020 19:44:15;00000000;Forex-Gutschrift;;;;1.0;12'307.49;0.00;0.00;12'307.49;CHF;12'307.49;945.14;CHF
06-04-2020 19:44:15;00000000;Forex-Belastung;;;;1.0;12'700.00;0.00;0.00;-12'700.00;USD;-12'700.00;92.74;USD
06-04-2020 14:55:07;70026584;Kauf;XMCH;X MSCI CHINA;LU0514695690;117.0;16.744;11.80;0.00;-1'970.85;CHF;-1'970.85;-11'362.35;CHF
06-04-2020 13:57:57;70024690;Kauf;VWRL;Vanguard All World ETF Dist;IE00B3RBWM25;35.0;71.00;6.60;0.00;-2'491.60;CHF;-2'491.60;-9'391.50;CHF
06-04-2020 13:56:42;70024651;Kauf;VFEM;Vanguard EM ETF Dist;IE00B3VVMM84;77.0;45.375;8.10;0.00;-3'502.00;CHF;-3'502.00;-6'899.90;CHF
06-04-2020 13:55:24;70024599;Kauf;SPY5;SPDR S&P 500 UCITS ETF Dist;IE00B6YX5C33;20.0;253.10;10.70;0.00;-5'072.70;CHF;-5'072.70;-3'397.90;CHF
06-04-2020 13:37:58;70024083;Kauf;SMMCHA;UBSETF SMIM CHF DIS;CH0111762537;22.0;217.05;6.65;0.00;-4'781.75;CHF;-4'781.75;1'674.80;CHF
01-04-2020 15:38:36;69767840;Berichtigung Börsengeb.;ZM;ZOOM VIDEO COMMUNICATIONS CL A;US98980L1017;1.0;-0.01;0.00;0.00;-0.01;USD;-0.01;12'792.74;USD
01-04-2020 15:33:10;69767840;Verkauf;ZM;ZOOM VIDEO COMMUNICATIONS CL A;US98980L1017;35.0;141.67;8.39;0.00;4'950.06;USD;4'950.06;12'792.75;USD
31-03-2020 16:28:35;00000000;Depotgebühren;;;;1.0;24.78;1.91;0.00;-26.69;CHF;-26.69;6'456.55;CHF
31-03-2020 15:30:47;69785182;Kauf;MSFT;MICROSOFT ORD;US5949181045;59.0;159.42;44.96;0.00;-9'450.74;USD;-9'450.74;7'842.69;USD
31-03-2020 10:59:18;69784928;Kauf;SMMCHA;UBSETF SMIM CHF DIS;CH0111762537;65.0;222.55;24.35;0.00;-14'490.10;CHF;-14'490.10;6'483.24;CHF
27-03-2020 16:18:17;69693926;Kauf;ZM;ZOOM VIDEO COMMUNICATIONS CL A;US98980L1017;35.0;150.00;38.73;0.00;-5'288.73;USD;-5'288.73;17'293.43;USD
26-03-2020 03:50:28;00000000;Vergütung;;;;1.0;3'000.00;0.00;0.00;3'000.00;CHF;3'000.00;20'973.34;CHF
23-03-2020 21:55:25;00000000;Dividende;ROG;ROCHE GS;CH0012032048;1.0;765.00;267.75;0.00;497.25;CHF;497.25;17'973.34;CHF
18-03-2020 18:54:34;69030037;Berichtigung Börsengeb.;TLT;ISHARES 20 PLS YEAR TREASURY B;US4642874329;1.0;-0.01;0.00;0.00;-0.01;USD;-0.01;22'582.16;USD
18-03-2020 18:54:26;69030037;Verkauf;TLT;ISHARES 20 PLS YEAR TREASURY B;US4642874329;58.0;145.00;17.80;0.00;8'392.20;USD;8'392.20;22'582.17;USD
18-03-2020 18:54:26;69030037;Verkauf;TLT;ISHARES 20 PLS YEAR TREASURY B;US4642874329;7.0;145.00;22.86;0.00;992.14;USD;992.14;14'189.97;USD
16-03-2020 14:53:27;69049483;Verkauf;SHOP;SHOPIFY CL A SUB VTG ORD;CA82509L1076;10.0;339.00;6.01;0.00;3'383.99;USD;3'383.99;13'197.83;USD
16-03-2020 09:10:57;69061137;Verkauf;SIKA;SIKA N;CH0418792922;47.0;137.00;7.20;0.00;6'431.80;CHF;6'431.80;17'476.09;CHF
13-03-2020 17:16:27;68911496;Berichtigung Börsengeb.;VTI;VANGUARD TOTAL STOCK MARKET ET;US9229087690;1.0;-0.02;0.00;0.00;-0.02;USD;-0.02;9'813.84;USD
13-03-2020 17:12:13;69030305;Verkauf;AUUSI;UBSETF GOLD USD DIS;CH0106027193;228.0;47.375;12.05;0.00;10'789.45;CHF;10'789.45;11'044.29;CHF
12-03-2020 14:31:10;68911496;Verkauf;VTI;VANGUARD TOTAL STOCK MARKET ET;US9229087690;3.0;129.18;0.58;0.00;386.96;USD;386.96;9'813.86;USD
12-03-2020 14:31:10;68911496;Verkauf;VTI;VANGUARD TOTAL STOCK MARKET ET;US9229087690;73.0;129.18;14.35;0.00;9'415.79;USD;9'415.79;9'426.90;USD
06-03-2020 16:30:14;00000000;Dividende;TLT;ISHARES 20 PLS YEAR TREASURY B;US4642874329;1.0;14.90;4.47;0.00;10.43;USD;10.43;11.11;USD
